,_id,asset_text,spend,impressions,clicks,link_click,post_engagement,lead,page_engagement,post_reaction,post,onsite_conversion.lead_grouped,video_view,offsite_conversion.fb_pixel_custom,cpm,cpc,ctr,cpl,ctl,onsite_conversion.post_save,like,comment,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_first_reply,landing_page_view,First 20 words,First 4 words,Payment plan,RERA Number,Exclamation in 20 words,Emojis Present,"Attributes in first 20 words [name, address, price, size, emoji, payment plan attributes]",first_20_words,first_4_words,attributes_in_first_20_words,exclamation_in_20_words,emojis_present,Attributes,name,address,price,size,emoji,payment plan,payment plan attributes,campaign_id,Attributes in first 20 words,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d
0,66d882385367e95d91a2243c,"Unleash Business Potential at Satya The Hive, Sector 102, Gurugram

Position your brand for success with top-notch retail spaces at Satya The Hive. These versatile showrooms cater to various business needs with unmatched amenities.

📐 Available Sizes: 250 sq. ft. Onwards
💰 Competitive Pricing: 40 Lacs Onwards
🌿 An Impressive 85% Green and Open Areas
🏢 Expansive Club-house (1.25 lacs sqft)
🏞️ Stunning Double Height Entrance Lobby
🎉 9+ ft wide Party Decks for Social Events

Seize this opportunity to thrive in a prestigious commercial hub! Get in touch for more information.",1504.692867,5679,41,19,995,4,995,7,1.0,4.0,968.0,1.0,264.95736344426837,36.69982602439024,0.007219580912132418,376.17321675,10.25,,,,,,,Position your brand for success with top-notch retail spaces at Satya The Hive,Position your brand for,No,,No,Yes,,,,,,,,Satya The Hive,"Sector 102, Gurugram",Competitive Pricing: 40 Lacs Onwards,Available Sizes: 250 sq. ft. Onwards,🌿,,,120211112693250764,,,
1,66d882385367e95d91a2243d,"Transform Your Business with Satya The Hive's Premier Showrooms 💼

Located in Sector 102, Gurugram, Satya The Hive provides exemplary retail spaces designed for success. Perfect for shops and showrooms, experience business like never before.

📐 Multiple Size Options Starting from 250 sq. ft.
💰 Affordable Pricing: 40 Lacs Onwards
🌳 85% Green and Open Spaces for a Refreshing Environment
🏢 Club-house Facility Spanning 1.25 lacs sqft
🏞️ Elegant Double Height Entrance Lobby
🎉 Spacious 9+ ft wide Party Decks for Events

Take the first step towards reimagining your business. Reach out to us today!",3523.743909,8683,125,57,1670,11,1670,15,,11.0,1598.0,,405.82101911781643,28.189951272,0.014395946101577796,320.3403553636363,11.363636363636363,,,,,,,Transform Your Business with Satya The Hive's Premier Showrooms,Transform Your Business with,No,,No,Yes,,,,,,,,Satya The Hive,"Sector 102, Gurugram",Affordable Pricing: 40 Lacs Onwards,Starting from 250 sq. ft.,💼,,,120211112693250764,,,
2,66d882385367e95d91a2243e,"Elevate Your Business Presence at Satya The Hive 🏬

Discover unparalleled business spaces in one of Gurugram's prime locations. Situated in Sector 102, Satya The Hive offers premium Shops and Showrooms designed to elevate your enterprise.

📐 Available Sizes: 250 sq. ft. Onwards
💰 Price Range: 40 Lacs Onwards
🌳 85% Green and Open Areas 
🏢 Largest Club-house (1.25 lacs sqft)
🚪 Double Height Entrance Lobby
🎉 9+ ft wide Party Decks

Don't miss out on setting up your business in a vibrant and luxurious setting! Contact us now to secure your spot.",999.480789,2773,18,10,534,1,534,5,2.0,1.0,517.0,,360.43302884962134,55.5267105,0.006491164803461955,999.480789,18.0,,,,,,,Elevate Your Business Presence at Satya The Hive 🏬 Discover unparalleled business spaces in one,Elevate Your Business Presence,No,,No,Yes,,,,,,,,Satya The Hive,Sector 102,40 Lacs,250 sq. ft.,🏬,,,120211112693250764,,,
3,66d882385367e95d91a2243f,"Unlock a World of Retail Excellence at Satya The Hive 🛍️

Experience premier shopping and showcase space in Sector 102, Gurugram. Satya The Hive offers an exceptional retail investment with features designed to maximize your ROI and give you peace of mind.

🔒 Lockable shops
📅 15 years lease
📈 15% rent increment after 3 years
🛡️ 100% safe & secure
🏠 Ready to move, operational now
📈 High ROI & capital appreciation
👪 1 Lac+ families nearby
💹 0% GST, all inclusive
📅 Instantly pre-rented to Vishal Mega Mart
📃 Instant registry
📊 Largest hypermart on Dwarka Expressway
📍 Unbeatable location
🏛️ RERA approved

Reach out now to elevate your retail investment with Satya The Hive! 🌟",58.546389,65,2,0,0,0,0,0,,,,,900.7136769230768,29.2731945,0.03076923076923077,,,,,,,,,Unlock a World of Retail Excellence at Satya The Hive 🛍️ Experience premier shopping and showcase space,Unlock a World of Retail,No,,Yes,Yes,,,,,,,,Satya The Hive,"Sector 102, Gurugram",,,🛍️,,,120210852204310764,,,
4,66d882385367e95d91a22440,"Discover Unmatched Retail Spaces at Satya The Hive 🏢

Located in the prime Sector 102 of Gurugram, Satya The Hive presents an unparalleled opportunity for retail business enthusiasts and investors. This pre-rented property offers the perfect environment to grow your business with optimal amenities and unbeatable benefits.

🔒 Secure, lockable shops
📝 Lease period of 15 years
🔺 Rent increment of 15% after 3 years
🏃 Ready to move in, operational now
📈 High ROI potential & capital appreciation
👪 More than 1 Lac families in the vicinity
🌟 Zero GST, all-inclusive prices
💼 Pre-rented to Vishal Mega Mart
📚 Instant registry
🏬 The largest hypermart on Dwarka Expressway
📍 Prime, unbeatable location
🏛️ RERA approved

Don’t miss out on this lucrative business opportunity at Satya The Hive. Inquire now! 🌟",129.80548,89,6,3,4,1,4,1,,1.0,,,1458.4885393258426,21.634246666666666,0.06741573033707865,129.80548,6.0,,,,,,,"Discover Unmatched Retail Spaces at Satya The Hive 🏢 Located in the prime Sector 102 of Gurugram,",Discover Unmatched Retail Spaces,No,approved,No,Yes,,,,,,,,Satya The Hive,"Sector 102, Gurugram",,,🏢,,,120210852204310764,,,
5,66d882385367e95d91a22441,"Elevate Your Business with Satya The Hive’s Premier Retail Spaces 🌟

Strategically located in Sector 102, Gurugram, Satya The Hive offers state-of-the-art shop and showroom spaces designed to ensure your business prospers. Ideal for investors and retailers aiming for exceptional returns.

🊳 Lockable shop spaces
📜 15 years assured lease
📈 15% rent hike after every 3 years
🏢 Move-in ready and operational
🛡️ 100% secure premise
📊 Promises high ROI & value appreciation
🏘️ Home to over 1 Lac families
🌟 No GST, all inclusive price
🏷️ Pre-rented to Vishal Mega Mart
📄 Instant registry available
🛒 The largest hypermart on Dwarka Expressway
🏆 Prime location with unmatched accessibility
🏛️ Fully RERA approved

Seize this opportunity to invest in Satya The Hive and watch your business thrive! 🌟",7.99541,24,0,0,0,0,0,0,,,,,333.14208333333335,,0.0,,,,,,,,,"Strategically located in Sector 102, Gurugram, Satya The Hive offers state-of-the-art shop and showroom spaces",Strategically located in Sector,No,,No,Yes,,,,,,,,Satya The Hive,"Sector 102, Gurugram",,,🌟,,,120210852204310764,,,
6,66d882385367e95d91a22442,"Mega Deals, Mega Returns 💯

Invest in India's largest Hypermart chain - Vishal Mega Mart, at Satya The Hive, 📍Sec 102, Gurgaon.  

🔐 Lockable shops 250 sq. ft onwards
📜 15 years lease
📈 15% rent hike after 3 years
🌟 No GST, all inclusive price

🏢 Ready to move & operational
🛡️ 100% secure investment 
📊 Earn fixed rent & capital appreciation 
🏘️ Surrounded by over 1 Lac families
🏆 Prime location, sector 102, Gurgaon 

📄 Instant registry 
🛒 Largest hypermart on Dwarka Expressway
🏛️ RERA approved

Seize this opportunity to invest in Satya The Hive and watch your in grow! 🌟",2095.876786,6347,53,24,35,4,35,7,2.0,4.0,,,330.21534362691034,39.54484501886792,0.008350401764613203,523.9691965,13.25,2.0,,,,,,"Invest in India's largest Hypermart chain - Vishal Mega Mart, at Satya The Hive, 📍Sec 102, Gurgaon.",Invest in India's largest Hypermart,No,RERA approved,Yes,Yes,,,,,,,,Vishal Mega Mart,"Satya The Hive, Sec 102, Gurgaon",all inclusive price,250 sq. ft onwards,💯,,,120210852204310764,,,
7,66d882385367e95d91a22443,"Invest in Pre-Rented shops in the Largest Hypermart on Dwarka Expressway.

Tenant - Vishal Mega Mart at; Satya The Hive📍Sector 102, Gurugram

Investment starts Rs 40 Lac onwards.

🏠 Fresh Lease, ready to move
🔒 Lockable shops - 250 sq. ft onwards 
📅 15 years lease
📈 15% rent increase after 3 years
💹 0% GST
✅️ All-inclusive price, No extra charges 

👪 1 Lac+ families nearby
📍 Unbeatable location
🏛️ RERA approved
🛡️ 100% safe & secure
📈 High ROI & capital appreciation
📃 Instant registry


Reach out now to create your passive income with Satya The Hive! 🌟",1264.833876,4135,41,21,31,2,31,10,,2.0,,,305.8848551390568,30.849606731707315,0.009915356711003628,632.416938,20.5,,,,,,,Invest in Pre-Rented shops in the Largest Hypermart on Dwarka Expressway. Tenant - Vishal Mega Mart at; Satya The Hive,Invest in Pre-Rented shops,No,,No,Yes,,,,,,,,Satya The Hive,"Sector 102, Gurugram",Rs 40 Lac onwards,250 sq. ft onwards,📍,,,120210852204310764,,,
8,66d882385367e95d91a22444,"No Risk, High Returns ✅️ Invest in Pre Leased Retail Shops on Dwarka Expressway. 

Vishal Mega Mart, pre rented shops for sale at Satya The Hive, 📍 sec 102 Gurugram. 

Satya Group presents a great investment opportunity that is 100% safe & secure with long term assured rent.

💼 Pre-rented to Vishal Mega Mart
🏃 Ready to move in, operational now
🔒 Lockable shops
📝 Lease period of 15 years
🔺 Rent increment of 15% after 3 years
🌟 Zero GST, all-inclusive price
📚 Instant registry

👪 More than 1 Lac families in the vicinity
🏬 The largest hypermart on Dwarka Expressway
📈 High ROI & capital appreciation
📍 Prime, unbeatable location
🏛️ RERA approved

Don’t miss out on this lucrative  opportunity at Satya The Hive. Inquire now!",1202.799489,2822,50,17,21,2,23,4,,2.0,,,426.22235613040397,24.05598978,0.01771793054571226,601.3997445,25.0,,2.0,,,,,"No Risk, High Returns ✅️ Invest in Pre Leased Retail Shops on Dwarka Expressway.","No Risk, High Returns ✅️",No,,No,Yes,,,,,,,,Pre Leased Retail Shops,Dwarka Expressway,,,✅️,,,120210852204310764,,,
9,66d882385367e95d91a22445,"Unlock the Potential of Your Business at Satya Hive! 🏢✨

Located in the thriving area of Sector 102, Dwarka Expressway, Gurgaon, Satya Hive is your gateway to lucrative business opportunities. Our shops and showrooms start at an unbeatable price of 40 Lac, featuring extensive amenities that ensure both immediate and long-term benefits.
🚶 Ready to move in
🛡️ 0% GST
👔 Pre-rented units
📈 15 Years Lease
💼 New Launch
🔒 Fixed Rent for 5 years
🏢 High Appreciation
💰 Great ROI
🏘️ Safe & Secure Investment
💵 Rental Income from Day 1
Embrace this golden opportunity to secure a prime commercial space that promises substantial growth and consistent returns. Contact us today to learn more and propel your business to new heights!",215.443941,759,4,2,3,0,3,1,,,,,283.8523596837945,53.86098525,0.005270092226613966,,,,,,,,,"Unlock the Potential of Your Business at Satya Hive! 🏢✨ Located in the thriving area of Sector 102, Dwarka Expressway, Gurgaon,",Unlock the Potential of,No,,Yes,Yes,,,,,,,,Satya Hive,"Sector 102, Dwarka Expressway, Gurgaon",40 Lac,,🏢✨,,,120210791642450764,,,
10,66d882385367e95d91a22446,"Elevate Your Business at Satya Hive - Your Dream Commercial Space Awaits! 💼🏙️

Situated strategically in Sector 102, Dwarka Xway, Gurgaon, Satya Hive offers shops and showrooms starting at 225 sq ft for just 40 Lac. Experience a plethora of benefits designed to maximize your investment and business growth.
📦 Ready to move
🛡️ 0% GST
🏢 Pre-rented properties
🔄 15 Years Lease
🔔 New Launch
📅 Fixed Rent for 5 years
📈 High Appreciation
💸 Great ROI
🔒 Safe & Secure Investment
💵 Immediate Rental Income
Don’t miss out on this exceptional chance to elevate your commercial presence. Get in touch today to reserve your spot at Satya Hive and enjoy unmatched business advantages!",144.279065,433,9,7,8,1,8,1,,1.0,,,333.20800230946884,16.03100722222222,0.020785219399538105,144.279065,9.0,,,,,,,Elevate Your Business at Satya Hive - Your Dream Commercial Space Awaits!,Elevate Your Business at,No,,Yes,Yes,,,,,,,,Satya Hive,"Sector 102, Dwarka Xway, Gurgaon",40 Lac,225 sq ft,💼🏙️,,,120210791642450764,,,
11,66d882385367e95d91a22447,"Satya Hive: The Perfect Business Venue with Unmatched Benefits! 🌟📊

Satya Hive, situated in the bustling hub of Sector 102 on Dwarka Expressway, Gurgaon, is the latest commercial real estate marvel. Our shop/showroom units start from 225 sq ft at an attractive price of 40 Lac. Explore an array of exceptional amenities tailored to skyrocket your returns and business success.
🏢 Ready to occupy now
🛡️ 0% GST advantage
💼 Pre-leased spaces
📜 15 Years Lease duration
🚀 Brand New Launch
🔒 Fixed Rent for 5 years
📈 Guaranteed High Appreciation
💰 Promising ROI
🏦 Secure and Safe Investment
💵 Earn Rental Income from Day 1
Take the next step toward a prosperous business future with Satya Hive. Contact us to find out more about these incredible commercial opportunities!",84.730087,164,1,0,3,0,3,2,,,,,516.6468719512195,84.730087,0.006097560975609756,,,,,1.0,,,,"Satya Hive, situated in the bustling hub of Sector 102 on Dwarka Expressway, Gurgaon, is the latest commercial real estate marvel.","Satya Hive, situated in",No,,Yes,Yes,,,,,,,,Satya Hive,"Sector 102, Dwarka Expressway, Gurgaon",40 Lac,225 sq ft,🌟,,,120210791642450764,,,
12,66d882385367e95d91a22448,"Invest in Profitable Retail Spaces at Satya The Hive, Sector 102, Gurugram 🔑💼

Discover prime retail/showroom units at Satya The Hive, Sector 102. These spaces promise significant returns and future-proof stability.
✅ Pre Rented Property
🏢 15 Years Lease
💰 Assured Fixed Rental
🛒 Sealed with Vishal Mega Mart Lease
🚫 No GST Burden

Don’t miss out on this incredible investment chance! Secure your spot in one of Gurugram’s thriving locales.",226.289074,548,9,3,5,1,5,2,,1.0,,,412.93626642335767,25.143230444444445,0.016423357664233577,226.289074,9.0,,,,,,,"Invest in Profitable Retail Spaces at Satya The Hive, Sector 102, Gurugram 🔑💼 Discover prime retail/showroom units",Invest in Profitable Retail Spaces,No,,Yes,Yes,,,,,,,,Satya The Hive,"Sector 102, Gurugram",,,🔑💼,,,120210789735970764,,,
13,66d882385367e95d91a22449,"Thriving Commercial Spaces at Satya The Hive, Sector 102, Gurugram 🌟💸

Maximize your investment with Satya The Hive's premium shops/showrooms. Strategically positioned in Sector 102, Gurugram, these units promise sustained rental income.
✅ Pre Rented Convenience
🏢 Long-term 15 Years Lease
💵 Guaranteed Fixed Rental
🛒 Anchored by Vishal Mega Mart
🚫 Enjoy 0% GST

Take the leap towards lucrative returns. Book your space today and watch your investment grow!",214.935141,709,10,6,8,0,8,2,,,,,303.1525260930888,21.4935141,0.014104372355430184,,,,,,,,,"Thriving Commercial Spaces at Satya The Hive, Sector 102, Gurugram 🌟💸 Maximize your investment with Satya The Hive's premium shops/showrooms.",Thriving Commercial Spaces at,No,,No,Yes,,,,,,,,Satya The Hive,"Sector 102, Gurugram",,,🌟💸,,,120210789735970764,,,
14,66d882385367e95d91a2244a,"Exclusive Shops & Showrooms at Satya The Hive in Sector 102, Gurugram 🛍️✨

Unlock an outstanding investment opportunity with Satya The Hive. Located in the prime Sector 102, Gurugram, these pre-rented shops & showrooms offer unmatched value.
✅ Pre Rented Property
🏢 15 Years Lease
💼 Fixed Rental Income
🛒 Leased to Vishal Mega Mart
🚫 0% GST

Seize the chance to own a high-earning commercial space today! Act fast and invest in a promising future.",181.283124,405,6,2,4,0,4,2,,,,,447.6126518518518,30.213853999999998,0.014814814814814815,,,,,,,,,"Exclusive Shops & Showrooms at Satya The Hive in Sector 102, Gurugram 🛍️✨ Unlock an outstanding investment",Exclusive Shops & Showrooms at,No,,No,Yes,,,,,,,,Satya The Hive,"Sector 102, Gurugram",,,🛍️✨,,,120210789735970764,,,
15,66d882385367e95d91a2244b,"Discover Excellence with M3M Route 65 in Sector 65, Gurgaon! 🏙️🌟

Presenting top-tier shopping and showroom spaces in a prime location, offering unmatched blend of luxury and convenience. 

🔹 High Speed Wifi for seamless connectivity
🔹 Exclusive Bar & Restaurant for socializing and leisure
🔹 24/7 Security Guard services ensuring safety
🔹 Ample Parking spaces for clients and visitors
🔹 Premier Shopping Center for diversified retail experiences
🔹 Convenient Transportation options for easy accessibility
🔹 Advanced CCTV surveillance for added security

Choose excellence at Rs.45000 per sq.ft, negotiable. Dive into luxury retail spaces today!

Contact us now to learn more and book your visit! 📞🛒",195.835869,4892,23,11,25,1,25,13,,1.0,1.0,,40.03186201962388,8.514603,0.004701553556827474,195.835869,23.0,,,,,,,"Discover Excellence with M3M Route 65 in Sector 65, Gurgaon! 🏙️🌟 Presenting top-tier shopping",Discover Excellence with M3M,Yes,,Yes,Yes,,,,,,,,M3M Route 65,"Sector 65, Gurgaon",Rs.45000 per sq.ft,,🏙️🌟,,negotiable,120210785543770764,,,
16,66d882385367e95d91a2244c,"Elevate your Business at M3M Route 65, Sector 65, Gurgaon! 🌟🏬

Designed for the elite, our superior shopping and showroom spaces cater to all upscale business needs. Starting at 700 sq. ft onwards.

🔹 Uninterrupted High Speed Wifi for smooth business transactions
🔹 Trendy Bar & Restaurant to entertain clients
🔹 Round-the-clock Security Guard ensuring utmost safety
🔹 Abundant Ample Parking space for ease
🔹 Thriving Shopping Center for a variety of needs and wants
🔹 Excellent Transportation making commutes effortless
🔹 24/7 CCTV surveillance keeping the premises secure

Secure these premium spaces at Rs.45000 per sq.ft, negotiable.

Act now and schedule your visit today! 📞🏢",326.4731,5752,38,22,39,0,39,16,,,,,56.758188456189146,8.591397368421053,0.006606397774687065,,,1.0,,,,,,"Elevate your Business at M3M Route 65, Sector 65, Gurgaon! 🌟🏬 Designed for the elite, our superior shopping",Elevate your Business at M3M,No,,Yes,Yes,,,,,,,,M3M Route 65,"Sector 65, Gurgaon",,700 sq. ft,🌟,,,120210785543770764,,,
17,66d882385367e95d91a2244d,"Epitome of Luxury: M3M Route 65, Sector 65, Gurgaon! 🏢✨

Elevate your business presence with premium shops and showrooms, starting from 700 sq. ft. Perfect for brands seeking prestige and convenience.

🔹 Superfast High Speed Wifi for hassle-free operations
🔹 Elegant Bar & Restaurant for a chic dining experience
🔹 On-guard Security Guard available 24/7
🔹 Vast and Ample Parking accommodating multiple vehicles
🔹 Comprehensive Shopping Center for diverse options
🔹 Efficient Transportation ensuring seamless connectivity
🔹 Cutting-edge CCTV ensuring safety and security

Grab this opportunity at Rs.45000 per sq.ft, with negotiation options!

Get in touch now to discover more about M3M Route 65! 🛍️📆",680.301433,5579,29,18,32,1,32,14,,1.0,,,121.93967252195733,23.458670103448274,0.005198064169205951,680.301433,29.0,,,,,,,"Epitome of Luxury: M3M Route 65, Sector 65, Gurgaon! 🏢✨ Elevate your business presence with premium",Epitome of Luxury: M3M,Yes,,Yes,Yes,,,,,,,,M3M Route 65,"Sector 65, Gurgaon",Rs.45000 per sq.ft,700 sq. ft.,🏢✨,,,120210785543770764,,,
